iter	Passed	Remaining
745	84370	28726
746	84464	28607
747	84571	28491
748	84670	28374
749	84783	28261
750	84901	28149
751	85024	28040
752	85128	27923
753	85243	27811
754	85352	27697
755	85457	27581
756	85565	27466
757	85669	27350
758	85787	27239
759	85889	27122
760	85990	27006
761	86105	26893
762	86225	26782
763	86323	26665
764	86438	26552
765	86544	26437
766	86670	26328
767	86762	26209
768	86855	26090
769	86963	25976
770	87063	25859
771	87178	25747
772	87307	25638
773	87420	25525
774	87534	25413
775	87637	25297
776	87738	25180
777	87837	25064
778	87949	24951
779	88065	24839
780	88162	24721
781	88286	24611
782	88393	24497
783	88509	24385
784	88625	24273
785	88736	24159
786	88850	24047
787	88956	23932
788	89066	23818
789	89183	23707
790	89294	23593
791	89405	23480
792	89510	23365
793	89618	23251
794	89724	23136
795	89841	23024
796	89946	22909
797	90050	22794
798	90144	22677
799	90248	22562
800	90376	22452
801	90493	22341
802	90589	22224
803	90709	22113
804	90799	21994
805	90912	21882
806	91035	21771
807	91152	21659
808	91263	21546
809	91396	21438
810	91502	21324
811	91617	21211
812	91719	21096
813	91832	20983
814	91930	20867
815	92036	20753
816	92129	20636
817	92242	20523
818	92369	20413
819	92498	20304
820	92622	20194
821	92752	20085
822	92875	19974
823	92988	19861
824	93094	19747
825	93202	19633
826	93312	19519
827	93439	19410
828	93543	19295
829	93639	19179
830	93718	19059
831	93825	18945
832	93929	18831
833	94027	18715
834	94122	18599
835	94251	18489
836	94349	18373
837	94474	18263
838	94585	18150
839	94694	18037
840	94791	17921
841	94893	17806
842	94995	17691
843	95113	17580
844	95210	17464
845	95316	17350
846	95435	17239
847	95550	17126
848	95664	17014
849	95769	16900
850	95896	16790
851	96012	16678
852	96136	16567
853	96246	16454
854	96355	16341
855	96485	16231
856	96593	16117
857	96719	16007
858	96830	15894
859	96928	15779
860	97036	15665
861	97154	15553
862	97273	15442
863	97386	15329
864	97509	15218
865	97633	15107
866	97757	14996
867	97889	14886
868	97991	14772
869	98112	14660
870	98223	14547
871	98348	14436
872	98463	14323
873	98606	14215
874	98726	14103
875	98839	13991
876	98965	13880
877	99073	13766
878	99193	13654
879	99290	13539
880	99418	13428
881	99540	13317
882	99654	13204
883	99766	13091
884	99892	12980
885	100017	12869
886	100118	12754
887	100226	12641
888	100352	12530
889	100465	12417
890	100592	12305
891	100743	12197
892	100872	12086
893	101009	11976
894	101117	11862
895	101228	11749
896	101343	11636
